mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.2595616181691487,0.008216557520899666,0.03555854161580404,0.0049171263457499495,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.003373448610401665,-0.0032503432258402785,-0.003390652955171055,-0.003338148263804333,6.248354924104839e-05,22
2.3975864251454673,0.026860954073696815,0.06697702407836914,0.00383631135630743,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.003351485768489966,-0.0032483992464619935,-0.003340400375506865,-0.003313428463486275,4.620476731890163e-05,10
3.7039779822031655,0.01726182504542466,0.1221773624420166,0.017457730747783902,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.0033441972807830957,-0.003244616797284998,-0.0033286534552885738,-0.003305822511118889,4.374172060469016e-05,4
0.9960137208302816,0.011431487514048235,0.02826094627380371,0.0028014008609418034,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.0034616789924006713,-0.0033312227723181695,-0.003442967857635554,-0.0034119565407847983,5.7596195876504526e-05,34
2.2511616547902427,0.025178344632610566,0.05555065472920736,0.001559686168429538,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.0034473542322856513,-0.0033328578250400288,-0.0033974366825587185,-0.003392549579961466,4.687052838679417e-05,31
3.3336750666300454,0.02535882271283842,0.07452964782714844,0.002088012229547711,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-0.003439122800819892,-0.003330286018060689,-0.0033866806705447105,-0.003385363163141764,4.444219608781057e-05,28
0.9616022904713949,0.012673271791736062,0.026140610376993816,0.003566949875344234,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.003645243518209464,-0.0034969708861997,-0.0035971839485562135,-0.0035797994509884586,6.176762322089769e-05,97
1.828871726989746,0.022092855920205105,0.040436744689941406,0.004690144331673956,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.0036316807785736977,-0.003497515428175723,-0.0035660997807141696,-0.0035650986624878637,5.477734927340025e-05,94
2.7232023080190024,0.020710589753019672,0.061371405919392906,0.003719264545098582,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-0.003625966463800665,-0.0034921849477255462,-0.0035555685271513914,-0.0035579066462258675,5.46410932750809e-05,88
0.944922924041748,0.02571597496773831,0.022947072982788086,0.003783973774487836,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.0034034551980294146,-0.0032463905861014044,-0.0033266282947200005,-0.00332549135961694,6.412639885983274e-05,13
2.005444288253784,0.023256529335042072,0.04597942034403483,0.0025151336396903754,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.0033881277483384814,-0.003240626176956665,-0.0033014211692087916,-0.0033100583648346463,6.052618855358247e-05,7
3.292955001195272,0.07640357298454126,0.08613173166910808,0.010166764104573562,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.0033753661063417157,-0.0032409640312589675,-0.003289962354585356,-0.003302097497395346,5.5536328740151825e-05,1
1.0009286403656006,0.021978836447193645,0.02313653628031413,0.001687878829644054,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.003432276003368147,-0.0032748591397968427,-0.003353044200360321,-0.003353393114508437,6.426563903034928e-05,25
2.188227653503418,0.01315822630371739,0.0460359255472819,0.004536196978583153,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.00341887644738268,-0.0032741950484269085,-0.003318376430444716,-0.0033371493087514348,6.053920229013555e-05,19
3.09912109375,0.09377270778634107,0.0633527437845866,0.0069712164240969795,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-0.0034092146604704976,-0.00327177447338636,-0.0033087916198975007,-0.003329926917918119,5.80659215791039e-05,16
0.9222679932912191,0.007374392047680748,0.027655919392903645,0.0034134654016409684,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.003618236432956334,-0.0034474225443794364,-0.003527989838569394,-0.0035312162719683877,6.97717876941141e-05,69
1.7745113372802734,0.005770631291471414,0.03986374537150065,0.0005851641436725475,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.0036113090914560715,-0.0034496141770803774,-0.0035011498999530377,-0.003520691056163162,6.744234042628377e-05,65
2.7380870978037515,0.05112601676274693,0.05645362536112467,0.0010900885639117993,,2,10,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-0.003600570333207219,-0.0034472554698361407,-0.003489966017908328,-0.003512597273650563,6.460388086885562e-05,61
