mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.2051209608713787,0.049097966570675965,0.034876743952433266,0.004327708726260325,,1,2,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.003373448610401665,-0.0032503432258402785,-0.003390652955171055,-0.003338148263804333,6.248354924104839e-05,22
2.370713710784912,0.03692655674847563,0.07334327697753906,0.0015782319615999015,,1,2,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.003351485768489966,-0.0032483992464619935,-0.003340400375506865,-0.003313428463486275,4.620476731890163e-05,10
3.5514774322509766,0.033304227128290544,0.10880899429321289,0.005140018691097432,,1,2,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-0.0033441972807830957,-0.003244616797284998,-0.0033286534552885738,-0.003305822511118889,4.374172060469016e-05,4
1.0464813709259033,0.011412066593469357,0.02173336346944173,0.0009854149998778194,,1,5,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.0034616789924006713,-0.0033312227723181695,-0.003442967857635554,-0.0034119565407847983,5.7596195876504526e-05,34
2.0387900670369468,0.04195374558562518,0.05956498781840006,0.021586011269918076,,1,5,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-0.0034473542322856513,-0.0033328578250400288,-0.0033974366825587185,-0.003392549579961466,4.687052838679417e-05,31
3.0415590604146323,0.01483257632564006,0.07182995478312175,0.008020342488358305,,1,5,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-0.003439122800819892,-0.003330286018060689,-0.0033866806705447105,-0.003385363163141764,4.444219608781057e-05,28
0.89810578028361,0.009114052263732101,0.02044399579366048,0.0032353432828749825,,1,10,100,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-0.003645243518209464,-0.0034969708861997,-0.0035971839485562135,-0.0035797994509884586,6.176762322089769e-05,97
1.7417701085408528,0.025236304617496406,0.046135902404785156,0.004624821412312231,,1,10,200,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-0.0036316807785736977,-0.003497515428175723,-0.0035660997807141696,-0.0035650986624878637,5.477734927340025e-05,94
2.6138484477996826,0.032105464985225776,0.05784527460734049,0.004764856160569263,,1,10,300,"{'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",-0.003625966463800665,-0.0034921849477255462,-0.0035555685271513914,-0.0035579066462258675,5.46410932750809e-05,88
0.985490083694458,0.02595498353698502,0.023346344629923504,0.002124625537606351,,2,2,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-0.0034034551980294146,-0.0032463905861014044,-0.0033266282947200005,-0.00332549135961694,6.412639885983274e-05,13
1.9106232325236003,0.012893853166858305,0.04359865188598633,0.0030947134255824684,,2,2,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-0.0033881277483384814,-0.003240626176956665,-0.0033014211692087916,-0.0033100583648346463,6.052618855358247e-05,7
2.9238481521606445,0.05312409590583874,0.06791440645853679,0.0025958177401936614,,2,2,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-0.0033753661063417157,-0.0032409640312589675,-0.003289962354585356,-0.003302097497395346,5.5536328740151825e-05,1
0.9635613759358724,0.018853363036820725,0.022331953048706055,0.0023685209005038293,,2,5,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-0.003432276003368147,-0.0032748591397968427,-0.003353044200360321,-0.003353393114508437,6.426563903034928e-05,25
1.8633926709493,0.032646058730434795,0.05035630861918131,0.004847147637459236,,2,5,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-0.00341887644738268,-0.0032741950484269085,-0.003318376430444716,-0.0033371493087514348,6.053920229013555e-05,19
2.819238026936849,0.03484396294178588,0.07126498222351074,0.01144929003044239,,2,5,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",-0.0034092146604704976,-0.00327177447338636,-0.0033087916198975007,-0.003329926917918119,5.80659215791039e-05,16
0.8541972637176514,0.01537068458239063,0.01780247688293457,0.00010680141145660437,,2,10,100,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-0.003618236432956334,-0.0034474225443794364,-0.003527989838569394,-0.0035312162719683877,6.97717876941141e-05,69
1.6907932758331299,0.024865597104902156,0.0372161070505778,0.0024662456773249454,,2,10,200,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-0.0036113090914560715,-0.0034496141770803774,-0.0035011498999530377,-0.003520691056163162,6.744234042628377e-05,65
2.516371726989746,0.027855514123432894,0.06079546610514323,0.004960373670464381,,2,10,300,"{'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 300}",-0.003600570333207219,-0.0034472554698361407,-0.003489966017908328,-0.003512597273650563,6.460388086885562e-05,61
